Title,Name of author,Publisher,Genre,Rating,Rating count,Review count,Book cover,Release date,Num of pages,Edition language,Num of other editions,Reading age,Best sellers rank,Lexile measure,Num of awards,Series,There is a movie
Dreamland,Sarah Dessen,Speak,Young Adult,3.9,80766.0,4414.0,Paperback,2004.0,250.0,English,34.0,12 - 17,102603.0,920.0,3,0.0,0
Dealing with Dragons,Patricia C. Wrede,HMH Books for Young Readers,Fantasy,4.11,92557.0,3786.0,Paperback,2002.0,212.0,English,37.0,,,,2,0.0,0
Ascend,Amanda Hocking,St. Martin's Griffin,Fantasy,4.08,61355.0,3710.0,Paperback,2012.0,326.0,English,68.0,12 - 17,152897.0,670.0,0,1.0,0
The Forgotten Garden,Kate Morton,Pan Books,Fiction,4.12,209219.0,19294.0,Paperback,2008.0,648.0,English,153.0,,,,2,0.0,0
After Forever Ends,Melodie Ramone,Gingersnap Press,Romance,4.03,1500.0,242.0,Kindle Edition,2012.0,564.0,English,1.0,,,,0,0.0,0
Killing Floor,Lee Child,Jove,Thriller,4.05,279508.0,11544.0,Mass Market Paperback,2006.0,524.0,English,61.0,,,,5,0.0,0
Deadly Little Secret,Laurie Faria Stolarz,Hyperion,Young Adult,3.86,22319.0,1673.0,Hardcover,2008.0,252.0,English,14.0,,,,0,0.0,0
Lies,Michael Grant,HarperCollins,Young Adult,4.08,62828.0,2433.0,Hardcover,2010.0,447.0,English,53.0,,,,0,0.0,0
Queen of Shadows,Sarah J. Maas,Bloomsbury USA Childrens,Fantasy,4.53,339807.0,26205.0,Hardcover,2015.0,648.0,English,75.0,14 - 17,761.0,830.0,1,1.0,0
Crocodile on the Sandbank,Elizabeth Peters,Grand Central Publishing,Mystery,4.0,69944.0,4799.0,Mass Market Paperback,1988.0,262.0,English,80.0,,,,0,1.0,0
The Past,Kenneth Thomas,,Science Fiction > Time Travel,4.26,10641.0,253.0,Paperback,,195.0,English,3.0,,,,0,0.0,0
Stolen,Lucy Christopher,Chicken House Ltd,Young Adult,3.9,76570.0,8788.0,Paperback,2009.0,304.0,English,43.0,,,,7,0.0,0
The Fairy-Tale Detectives,Michael Buckley,Amulet Books,Fantasy,4.02,52731.0,3495.0,Hardcover,2005.0,284.0,English,41.0,,,,0,0.0,0
Succubus Blues,Richelle Mead,Kensington,Fantasy > Urban Fantasy,3.93,56527.0,3048.0,Paperback,2007.0,343.0,English,45.0,,223346.0,,0,1.0,0
Noughts & Crosses,Malorie Blackman,Corgi Childrens,Young Adult,4.22,59322.0,4414.0,Paperback,2006.0,479.0,English,64.0,,,,5,0.0,0
All the Light We Cannot See,Anthony Doerr,Scribner,Historical > Historical Fiction,4.32,1225836.0,83767.0,Hardcover,2014.0,531.0,English,173.0,,5252.0,880.0,5,0.0,0
Gathering Blue,Lois Lowry,Delacorte Press,Young Adult,3.81,176125.0,11897.0,Paperback,2000.0,240.0,English,31.0,,,,2,0.0,0
The Girl Who Loved Tom Gordon,Stephen King,Pocket Books,Horror,3.62,145290.0,5798.0,Paperback,2005.0,264.0,English,64.0,,,,1,0.0,0
The Warrior Heir,Cinda Williams Chima,Hyperion Paperbacks,Fantasy,3.94,49826.0,3316.0,Paperback,2007.0,426.0,English,26.0,12 - 17,20553.0,730.0,1,1.0,0
Bloody Jack,L.A. Meyer,HMH Books for Young Readers,Historical > Historical Fiction,4.09,26223.0,2452.0,Paperback,2010.0,304.0,English,26.0,12 - 17,186719.0,1120.0,4,1.0,0
Existence,Abbi Glines,WIld Child Publishing,Fantasy > Paranormal,3.92,61931.0,3598.0,Kindle Edition,2011.0,161.0,English,16.0,,98499.0,,0,0.0,0
Invisible Monsters,Chuck Palahniuk,W. W. Norton Company,Fiction,3.98,140050.0,6075.0,Paperback,2018.0,304.0,,98.0,,46298.0,,0,0.0,0
One Hundred Years of Solitude,Gabriel García Márquez,Harper,Fiction,4.09,831832.0,35122.0,Mass Market Paperback,2003.0,417.0,English,790.0,,487.0,1410.0,2,1.0,0
Drums of Autumn,Diana Gabaldon,Delta,Historical > Historical Fiction,4.32,228561.0,8737.0,Paperback,2001.0,880.0,English,153.0,,25422.0,,1,1.0,0
Wolfsbane,Andrea Cremer,Philomel Books,Young Adult,4.11,46662.0,2270.0,Hardcover,2011.0,390.0,English,45.0,,,,0,0.0,0
Lost in Yaba: Down and Out in Laos,Walt Gleeson,Independently published,Crime > True Crime,3.68,2662.0,23.0,Kindle Edition,2020.0,210.0,English,4.0,,173961.0,,0,0.0,0
Midnight for Charlie Bone,Jenny Nimmo,Orchard Books,Fantasy,3.82,42737.0,1995.0,Hardcover,2003.0,401.0,English,64.0,,,,0,0.0,0
Maybe Someday,Colleen Hoover,Atria Books,Romance,4.23,208020.0,19932.0,Kindle Edition,2014.0,385.0,English,57.0,,1492.0,,1,1.0,0
Ignite Me,Tahereh Mafi,HarperCollins,Science Fiction > Dystopia,4.38,185954.0,19400.0,Kindle Edition,2014.0,421.0,English,66.0,14 - 17,763.0,,1,1.0,0
Bet Me,Jennifer Crusie,St. Martin's Paperbacks,Romance,3.93,90103.0,3941.0,Mass Market Paperback,2004.0,432.0,English,59.0,,,,3,0.0,0
The Human Obsession,Heath Sommer,Tate Publishing & Enterprises,Mystery,4.12,180.0,40.0,Paperback,2010.0,314.0,English,2.0,,,,0,0.0,0
Ever,Gail Carson Levine,HarperCollins,Fantasy,3.47,20659.0,1776.0,Hardcover,2008.0,244.0,English,15.0,,,,0,0.0,0
Ninth Grade Slays,Heather Brewer,Dutton Children's Books,Paranormal > Vampires,4.14,24476.0,1109.0,Hardcover,2008.0,278.0,English,33.0,,,,0,0.0,0
Angels' Blood,Nalini Singh,Berkley Sensation,Fantasy > Paranormal,4.06,87012.0,5256.0,Mass Market Paperback,2009.0,339.0,English,41.0,18,48657.0,,4,1.0,0
Requiem,Lauren Oliver,HarperCollins Children's Books,Young Adult,3.74,140697.0,13452.0,Hardcover,2013.0,391.0,English,92.0,14 - 17,97016.0,740.0,1,1.0,0
A Darker Shade of Magic,V.E. Schwab,Tor Books,Fantasy,4.06,260987.0,32510.0,Hardcover,2015.0,400.0,English,76.0,,167238.0,840.0,3,1.0,0
Tenth Grade Bleeds,Heather Brewer,Dutton Children's Books,Paranormal > Vampires,4.24,20381.0,743.0,Hardcover,2009.0,292.0,English,31.0,,,,0,0.0,0
I've Got Your Number,Sophie Kinsella,The Dial Press,Womens Fiction > Chick Lit,3.94,209008.0,13632.0,Hardcover,2012.0,448.0,English,110.0,,,,1,0.0,0
Stray,Rachel Vincent,MIRA,Fantasy > Urban Fantasy,3.77,37593.0,2114.0,Mass Market Paperback,2007.0,618.0,English,33.0,,,,0,0.0,0
Portrait of Our Marriage,Martha Emms,,Marriage,3.9,212.0,34.0,Kindle Edition,,251.0,English,1.0,,,,0,0.0,0
Lament: The Faerie Queen's Deception,Maggie Stiefvater,Flux,Fantasy,3.67,32130.0,2960.0,Paperback,2008.0,325.0,English,37.0,12 - 17,433619.0,,0,1.0,0
An Ember in the Ashes,Sabaa Tahir,Razorbill,Fantasy,4.25,236325.0,28205.0,Paperback,2016.0,446.0,English,117.0,14 - 17,6033.0,,12,1.0,0
The Hero of Ages,Brandon Sanderson,Tor Books,Fantasy,4.48,314239.0,19510.0,Hardcover,2008.0,572.0,English,102.0,,42636.0,,3,1.0,0
"Will Grayson, Will Grayson",John Green,Dutton Books,Young Adult,3.74,369159.0,19177.0,Hardcover,2010.0,310.0,English,114.0,14 - 17,463401.0,930.0,8,0.0,0
Two for the Dough,Janet Evanovich,Penguin Books,Mystery,4.1,156496.0,4960.0,Paperback,1996.0,326.0,English,86.0,,,,0,0.0,0
Splintered,A.G. Howard,Amulet Books,Fantasy,3.91,60305.0,7996.0,Hardcover,2013.0,371.0,English,35.0,14 - 17,148130.0,780.0,2,1.0,0
The Shack,William Paul Young,Windblown Media,Fiction,3.79,584651.0,34019.0,Paperback,2007.0,248.0,English,17.0,,1484.0,,1,0.0,0
Twenty Boy Summer,Sarah Ockler,"Little, Brown Books for Young Readers",Young Adult,3.88,40058.0,2580.0,Hardcover,2009.0,290.0,English,19.0,,,,1,0.0,0
Twenties Girl,Sophie Kinsella,The Dial Press,Womens Fiction > Chick Lit,3.84,158095.0,7315.0,Hardcover,2009.0,435.0,English,86.0,,,,2,0.0,0
Night Star,Alyson Noel,St. Martin's Griffin,Young Adult,3.81,50817.0,1429.0,Hardcover,2010.0,302.0,English,65.0,,,,0,0.0,0
The Well of Ascension,Brandon Sanderson,Tor Books,Fantasy,4.35,339410.0,18715.0,Hardcover,2007.0,590.0,English,111.0,,44215.0,,0,1.0,0
Eon: Dragoneye Reborn,Alison Goodman,Viking Books for Young Readers,Fantasy,3.92,66197.0,4308.0,Hardcover,2008.0,531.0,English,64.0,,,,5,0.0,0
Walking Disaster,Jamie McGuire,Atria Books,Romance,4.18,178548.0,12088.0,Paperback,2013.0,448.0,English,68.0,,25460.0,,1,1.0,0
Leven Thumps and the Gateway to Foo,Obert Skye,Aladdin,Fantasy,3.74,20308.0,1655.0,Paperback,2006.0,368.0,,19.0,10 - 13,232372.0,850.0,0,1.0,0
Night,Elie Wiesel,Hill & Wang,Nonfiction,4.34,1069705.0,31670.0,Paperback,2006.0,115.0,English,160.0,,1944.0,590.0,0,1.0,0
Oryx and Crake,Margaret Atwood,Anchor Books,Fiction,4.0,242851.0,14582.0,Paperback,2004.0,389.0,English,140.0,,18566.0,,5,1.0,0
Bloodfever,Karen Marie Moning,Delacorte Press,Fantasy,4.25,103044.0,5452.0,Hardcover,2007.0,303.0,English,54.0,,,,1,0.0,0
Partials,Dan Wells,Balzer + Bray,Young Adult,3.92,61275.0,4746.0,Hardcover,2012.0,468.0,English,39.0,14 - 17,,810.0,0,1.0,0
The Ocean at the End of the Lane,Neil Gaiman,William Morrow Books,Fantasy,4.0,534894.0,51580.0,Hardcover,2013.0,181.0,English,169.0,,580419.0,,5,0.0,0
Bitterblue,Kristin Cashore,Dial,Fantasy,3.98,114861.0,8539.0,Hardcover,2012.0,576.0,English,67.0,,,,4,0.0,0
Shadowfever,Karen Marie Moning,Delacorte Press,Fantasy > Urban Fantasy,4.38,105143.0,6945.0,Hardcover,2011.0,608.0,English,41.0,,,,3,0.0,0
Angelfire,Courtney Allison Moulton,HarperCollins / Katherine Tegen Books,Paranormal > Angels,3.93,29768.0,2031.0,Hardcover,2011.0,453.0,English,12.0,,,,0,0.0,0
Wintergirls,Laurie Halse Anderson,Viking Books for Young Readers,Young Adult,3.96,115586.0,9362.0,Hardcover,2009.0,278.0,English,60.0,13 - 17,144271.0,730.0,9,0.0,0
The Grand Delusion,Heath Sommer,Tate Publishing,Mystery,4.11,162.0,38.0,Paperback,2010.0,410.0,English,2.0,,,,0,0.0,0
The Secret to Hummingbird Cake,Celeste Fletcher McHale,Thomas Nelson,Fiction,3.93,5264.0,790.0,Paperback,2016.0,304.0,,7.0,,221528.0,,0,0.0,0
Love Is Never Past Tense...,Janna Yeshanova,"Life-Spark, LLC",Romance,4.16,218.0,30.0,Kindle Edition,2013.0,208.0,English,1.0,,,,0,0.0,0
The Magicians' Guild,Trudi Canavan,Orbit,Fantasy,3.93,80140.0,2923.0,Paperback,2004.0,467.0,English,86.0,,,,0,0.0,0
Keeping the Moon,Sarah Dessen,Speak,Young Adult,3.84,67668.0,2863.0,Paperback,2004.0,228.0,English,44.0,12 - 17,135481.0,650.0,2,0.0,0
Cross Roads,C. Michaels,Rani Books,Mystery,3.89,100.0,8.0,Nook,2011.0,472.0,English,2.0,,,,0,0.0,0
Vampire Princess Rising,Jami Brumfield,Beau Coup Publishing llc,Paranormal > Vampires,4.33,233.0,33.0,Paperback,2014.0,326.0,English,4.0,,,,0,0.0,0
The Gathering,Kelley Armstrong,Harper,Young Adult,3.99,66678.0,3425.0,Hardcover,2011.0,359.0,English,28.0,13 - 17,,640.0,2,1.0,0
For the Love of Armin,Michael G. Kramer,,Fiction,4.31,1476.0,24.0,Kindle Edition,,325.0,,3.0,,,,0,0.0,0
Beautiful Chaos,Kami Garcia,"Little, Brown and Company",Fantasy,3.91,102073.0,4743.0,Hardcover,2011.0,516.0,English,24.0,12 - 17,,630.0,0,1.0,0
Song of the Sparrow,Lisa Ann Sandell,Scholastic Press,Historical > Historical Fiction,4.07,9844.0,992.0,Hardcover,2007.0,394.0,English,5.0,,,,2,0.0,0
The Amazing Adventures of Kavalier & Clay,Michael Chabon,Picador USA,Fiction,4.17,192379.0,11350.0,Paperback,2001.0,639.0,English,2.0,,,,5,0.0,0
Poison Princess,Kresley Cole,Simon Schuster Books for Young Readers,Young Adult,4.1,42123.0,4379.0,Paperback,2014.0,369.0,English,34.0,,,,0,0.0,0
"Bone, Vol. 1: Out from Boneville",Jeff Smith,Graphix,Sequential Art > Graphic Novels,4.18,82733.0,2426.0,Paperback,2005.0,138.0,English,51.0,11 - 14,19610.0,,1,1.0,0
The Thief,Megan Whalen Turner,Greenwillow Books,Fantasy,3.86,80478.0,8564.0,Paperback,2005.0,280.0,English,46.0,12 - 17,28518.0,920.0,3,1.0,0
The Way of Kings,Brandon Sanderson,Tor Books,Fantasy,4.61,370193.0,24377.0,Hardcover,2010.0,1007.0,English,80.0,14 - 18,7649.0,,4,1.0,0
On the Island,Tracey Garvis Graves,Penguin,Romance,4.11,79585.0,9389.0,Paperback,2012.0,328.0,English,2.0,,,,0,0.0,0
The True Confessions of Charlotte Doyle,Avi,HarperTrophy,Historical > Historical Fiction,3.83,83568.0,3459.0,Mass Market Paperback,2003.0,278.0,English,56.0,,,,5,0.0,0
A Hunger Like No Other,Kresley Cole,Pocket Star,Fantasy > Paranormal,4.12,77413.0,3833.0,Mass Market Paperback,2006.0,360.0,English,48.0,,44646.0,,3,1.0,0
The Bone Church,Victoria Dougherty,Pier's Court Press,Historical > Historical Fiction,3.75,538.0,108.0,Paperback,2014.0,308.0,English,3.0,,,,0,0.0,0
Hyperion,Dan Simmons,Bantam Spectra,Science Fiction,4.23,212806.0,9470.0,Mass Market Paperback,1990.0,482.0,English,148.0,,5915.0,,5,1.0,0
Throne of Novoxos,Tyler Chase,,Science Fiction,3.5,5158.0,127.0,Kindle Edition,,437.0,English,4.0,,,,0,1.0,0
Blood Bound,Patricia Briggs,Ace,Fantasy > Urban Fantasy,4.3,119628.0,4281.0,Mass Market Paperback,2007.0,292.0,English,47.0,18,31219.0,,0,1.0,0
Keys to the Demon Prison,Brandon Mull,Shadow Mountain,Fantasy,4.44,74632.0,3571.0,Hardcover,2010.0,593.0,English,17.0,8 - 12,260193.0,730.0,1,1.0,0
All of Me,Kelly Moran,Berkley,Romance > Contemporary Romance,3.93,457.0,86.0,Paperback,2015.0,304.0,English,2.0,18,,,0,1.0,0
Things Not Seen,Andrew Clements,Speak,Young Adult,3.89,25300.0,1977.0,Paperback,2004.0,256.0,English,23.0,10 - 14,54705.0,690.0,3,1.0,0
Homecoming,Tonya Hurley,"Little, Brown and Company",Young Adult,3.45,8627.0,371.0,Hardcover,2009.0,285.0,English,43.0,,,,0,0.0,0
Some Girls Bite,Chloe Neill,Berkley Books,Fantasy > Urban Fantasy,3.98,63351.0,3596.0,Paperback,2009.0,341.0,English,34.0,18,203018.0,,1,1.0,0
On Dublin Street,Samantha Young,,Romance,4.19,181858.0,9754.0,Kindle Edition,,372.0,English,69.0,18,,,1,1.0,0
Bill of Human Wrongs,C. Michaels,Amazon,Fiction,4.36,67.0,10.0,ebook,2012.0,492.0,English,2.0,,,,0,0.0,0
The 231 Club: My Ten Year Journey From Therapist to CIA Courier and Sanctioned Kills - A True Story,J. Bartell,Bijou Entertainment,Nonfiction,3.57,2138.0,61.0,Paperback,2015.0,322.0,English,1.0,,,,0,0.0,0
The Guardian of Secrets and Her Deathly Pact,Jana Petken,Authorhouse,Historical > Historical Fiction,4.19,1355.0,181.0,Paperback,2013.0,714.0,English,12.0,,,,0,0.0,0
The False Prince,Jennifer A. Nielsen,"Scholastic, Inc",Fantasy,4.17,89349.0,9949.0,Hardcover,2012.0,342.0,English,44.0,10 - 14,,710.0,9,1.0,0
Carpe Corpus,Rachel Caine,Signet,Paranormal > Vampires,4.2,47836.0,1030.0,Mass Market Paperback,2009.0,241.0,English,40.0,12 - 17,,680.0,0,1.0,0
The Heir,Kiera Cass,HarperTeen,Young Adult,3.7,268318.0,20362.0,Kindle Edition,2015.0,342.0,English,91.0,8 - 12,2626.0,,1,1.0,0
Magic Study,Maria V. Snyder,Luna Books,Fantasy,4.02,78092.0,4987.0,Hardcover,2006.0,392.0,English,73.0,,,,1,0.0,0
...And the Stars Will Sing,Michelle Browne,Amazon,Science Fiction,3.59,112.0,30.0,Kindle Edition,2012.0,76.0,English,1.0,,,,0,1.0,0
Demonglass,Rachel Hawkins,Disney,Young Adult,4.07,95979.0,4875.0,Hardcover,2011.0,359.0,English,54.0,,,,1,0.0,0
A Mango-Shaped Space,Wendy Mass,"Little, Brown and Company",Young Adult,4.21,30775.0,2981.0,Paperback,2005.0,221.0,English,26.0,8 - 12,37180.0,,1,0.0,0
Covet,J.R. Ward,Signet,Fantasy > Paranormal,3.9,50142.0,2801.0,Mass Market Paperback,2009.0,474.0,English,46.0,18,67845.0,,1,1.0,0
Ana Rocha: Shadows of Justice,Ammar Habib,Createspace Independent Publishing Platform,Thriller,4.23,5384.0,638.0,Paperback,2018.0,218.0,English,1.0,,,,0,0.0,0
Mistress Suffragette,Diana Forbes,Penmore Press LLC,Fiction,4.31,11746.0,108.0,Kindle Edition,2017.0,333.0,,4.0,,,,0,0.0,0
The Kill Order,James Dashner,Delacorte Books for Young Readers,Young Adult,3.71,192917.0,10365.0,Hardcover,2012.0,327.0,English,89.0,12 - 17,195827.0,810.0,0,1.0,0
Faefever,Karen Marie Moning,Delacorte Press,Fantasy > Urban Fantasy,4.29,98432.0,4898.0,Hardcover,2008.0,327.0,English,51.0,,,,0,0.0,0
The Darkest Night,Gena Showalter,Harlequin,Fantasy > Paranormal,4.05,82904.0,3634.0,Mass Market Paperback,2008.0,379.0,English,67.0,,,,1,0.0,0
Adhaata Asao's Liege,Afroz Alam,Bigfoot Publications Pvt. Ltd,Fantasy,4.63,129.0,82.0,Paperback,2020.0,174.0,English,1.0,,,,0,0.0,0
Twelfth Grade Kills,Heather Brewer,Dutton Juvenile,Paranormal > Vampires,4.33,15987.0,737.0,Hardcover,2010.0,325.0,English,24.0,,,,1,0.0,0
Remember Me?,Sophie Kinsella,Bantam,Womens Fiction > Chick Lit,3.79,234576.0,8217.0,Hardcover,2008.0,352.0,English,40.0,,,,0,0.0,0
Fire Study,Maria V. Snyder,Mira,Fantasy,3.9,62346.0,4013.0,Paperback,2008.0,441.0,English,14.0,,129385.0,,0,1.0,0
The Undomestic Goddess,Sophie Kinsella,Dial Press Trade Paperback,Womens Fiction > Chick Lit,3.85,275169.0,8760.0,Paperback,2006.0,404.0,English,123.0,,100597.0,,0,0.0,0
My Soul to Take,Rachel Vincent,Harlequin Teen,Young Adult,3.87,43497.0,2689.0,Paperback,2009.0,279.0,English,29.0,14 - 17,247711.0,,0,1.0,0
The Changeling,Christopher Shields,Weald Fae Journals,Fantasy,4.12,336.0,27.0,Kindle Edition,2012.0,300.0,English,2.0,,,,0,0.0,0
The Light of Cabo Rojo,Austin Star,Independently Published,Horror,4.59,136.0,37.0,Paperback,2019.0,134.0,,3.0,,,,0,0.0,0
The Wee Free Men,Terry Pratchett,HarperTrophy,Fantasy,4.24,104828.0,4726.0,Mass Market Paperback,2004.0,375.0,English,13.0,12 - 17,433373.0,680.0,5,1.0,0
Lola and the Boy Next Door,Stephanie Perkins,Dutton Books,Young Adult,3.93,159598.0,14870.0,Hardcover,2011.0,338.0,English,66.0,14 - 17,39749.0,,2,0.0,0
Elantris,Brandon Sanderson,Tor Fantasy,Fantasy,4.17,206275.0,12956.0,Mass Market Paperback,2006.0,622.0,English,105.0,,14601.0,790.0,2,0.0,0
Prince of Wolves,Quinn Loftis,,Fantasy > Paranormal,4.02,38933.0,2809.0,Kindle Edition,,230.0,English,18.0,13 - 17,111847.0,,0,1.0,0
Witch & Wizard,James Patterson,"Little, Brown and Company",Fantasy,3.55,54606.0,4794.0,Hardcover,2009.0,314.0,English,74.0,12 - 17,14441.0,,0,1.0,0
Brainwalker,Robyn Mundell,Dualmind Publishing,Fantasy,4.35,20393.0,241.0,ebook,2016.0,260.0,English,3.0,,,,0,0.0,0
Old Man's War,John Scalzi,Tor Books,Science Fiction,4.19,184165.0,10313.0,Kindle Edition,2007.0,332.0,English,81.0,,41346.0,860.0,3,1.0,0
The Rise of Nine,Pittacus Lore,HarperCollins,Young Adult,4.17,102341.0,4763.0,Hardcover,2012.0,372.0,English,62.0,14 - 17,,750.0,1,1.0,0
Point of Retreat,Colleen Hoover,,Romance,4.26,149754.0,9156.0,ebook,,230.0,English,42.0,,13874.0,,0,1.0,0
Rendezvous with Rama,Arthur C. Clarke,,Science Fiction,4.11,146441.0,4512.0,Paperback,,243.0,English,191.0,,,,6,0.0,0
A Breath of Snow and Ashes,Diana Gabaldon,Delta,Historical > Historical Fiction,4.41,158204.0,6011.0,Paperback,2006.0,980.0,English,98.0,,19205.0,,3,1.0,0
Neuromancer,William Gibson,Ace Books,Science Fiction,3.9,286043.0,11005.0,Mass Market Paperback,1984.0,271.0,English,196.0,18,8703.0,790.0,5,1.0,0
Kira-Kira,Cynthia Kadohata,Atheneum Books for Young Readers,Young Adult,3.94,24435.0,2873.0,Paperback,2006.0,291.0,English,13.0,10 - 14,66718.0,740.0,3,0.0,0
At Grave's End,Jeaniene Frost,Avon,Paranormal > Vampires,4.27,87634.0,2858.0,Mass Market Paperback,2008.0,342.0,English,5.0,,54875.0,,0,1.0,0
Love Unscripted,Tina Reber,CreateSpace Independent Publishing Platform,Romance,4.02,68236.0,3483.0,Paperback,2010.0,668.0,English,16.0,,,,0,0.0,0
Plague,Michael Grant,Katherine Tegen Books,Young Adult,4.18,51638.0,2152.0,Hardcover,2011.0,494.0,English,47.0,14 - 17,736364.0,570.0,0,1.0,0
Gabriel's Rapture,Sylvain Reynard,Penguin Berkley,Romance,4.21,112048.0,3858.0,ebook,2012.0,386.0,English,46.0,,,,1,0.0,0
Wizard and Glass,Stephen King,New English Library,Fantasy,4.23,182086.0,6638.0,Paperback,2003.0,845.0,English,185.0,,,,0,0.0,0
City of Thieves,David Benioff,Viking Books,Historical > Historical Fiction,4.24,135674.0,12283.0,Hardcover,2008.0,258.0,English,30.0,,,,2,0.0,0
Hallowed,Cynthia Hand,HarperTeen,Young Adult,4.07,79424.0,4284.0,Hardcover,2012.0,403.0,English,38.0,,,,1,0.0,0
Fables of the Reconstruction,Jez Jones,Ra Jones Publishing,Horror > Zombies,4.31,206.0,37.0,Kindle Edition,2015.0,54.0,English,1.0,,,,0,0.0,0
I Am the Messenger,Markus Zusak,Alfred A. Knopf Borzoi Books,Young Adult,4.02,154674.0,14752.0,Paperback,2006.0,357.0,English,100.0,12 - 17,25858.0,640.0,7,0.0,0
Fallen,Lauren Kate,Delacorte Press,Young Adult,3.72,545192.0,20526.0,Hardcover,2009.0,452.0,English,114.0,12 - 17,,830.0,0,1.0,0
World After,Susan Ee,Skyscape,Fantasy,4.14,101643.0,8510.0,Kindle Edition,2013.0,320.0,English,51.0,14 - 17,77513.0,790.0,0,1.0,0
Pawn of Prophecy,David Eddings,Del Rey Books,Fantasy,4.13,102265.0,3316.0,Paperback,2004.0,290.0,English,76.0,,,,3,0.0,0
The Sunshine Stone,Foster Henderson,,,4.75,130.0,5.0,Kindle Edition,,267.0,English,2.0,,742611.0,,0,0.0,0
Book of a Thousand Days,Shannon Hale,Bloomsbury Children’s Books,Fantasy,3.94,54438.0,6312.0,Hardcover,2007.0,306.0,English,32.0,,,,6,0.0,0
The Left Hand of Darkness,Ursula K. Le Guin,Ace,Science Fiction,4.08,141051.0,11092.0,Paperback,2000.0,304.0,English,194.0,18,9200.0,970.0,4,1.0,0
The Wrath and the Dawn,Renée Ahdieh,G.P. Putnam's Sons Books for Young Readers,Fantasy,4.07,152092.0,20124.0,Hardcover,2015.0,404.0,English,56.0,12 - 17,26980.0,690.0,3,1.0,0
Crooked Kingdom,Leigh Bardugo,Orion Children's Books,Fantasy,4.59,385469.0,45909.0,Kindle Edition,2016.0,561.0,English,109.0,12 - 17,492.0,,1,1.0,0
The Light Between Oceans,M.L. Stedman,Scribner,Fiction,4.02,429704.0,35904.0,Hardcover,2012.0,362.0,English,60.0,,191496.0,,7,0.0,0
Cutters Don't Cry,Christine Dzidrums,"CreativeMedia, Incorporated",Mental Health > Mental Illness,4.0,670.0,36.0,Kindle Edition,2010.0,132.0,English,3.0,,,,0,1.0,0
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,Simon & Schuster Books for Young Readers,Young Adult,4.34,375637.0,46933.0,Hardcover,2012.0,359.0,English,89.0,12 - 17,14731.0,380.0,8,1.0,0
Iron Kissed,Patricia Briggs,Ace,Fantasy > Urban Fantasy,4.31,119395.0,4098.0,Mass Market Paperback,2008.0,287.0,English,40.0,18,41038.0,,1,1.0,0
Mistress of the Art of Death,Ariana Franklin,G.P. Putnam's Sons,Historical > Historical Fiction,3.89,43656.0,3078.0,Hardcover,2007.0,384.0,English,64.0,,,,2,0.0,0
Out of My Mind,Sharon M. Draper,Atheneum Books for Young Readers,Realistic Fiction,4.36,130171.0,15287.0,Hardcover,2010.0,295.0,English,57.0,10 - 14,98574.0,700.0,12,0.0,0
Four to Score,Janet Evanovich,St. Martin's Press,Mystery,4.16,135561.0,3055.0,Mass Market Paperback,1999.0,313.0,English,65.0,,30593.0,,1,1.0,0
Feed,Mira Grant,Orbit,Horror,3.86,56423.0,6511.0,Mass Market Paperback,2010.0,599.0,English,,,102330.0,,4,1.0,0
Reason to Breathe,Rebecca Donovan,,Romance,4.21,89049.0,6106.0,Kindle Edition,,377.0,English,40.0,14 - 17,109459.0,660.0,1,1.0,0
The Drawing of the Three,Stephen King,Signet,Fantasy,4.21,236200.0,8551.0,Paperback,2003.0,463.0,English,224.0,,,,0,0.0,0
Corporate America,Jack Dougherty,bastable books,Fiction,3.64,413.0,48.0,Paperback,2013.0,350.0,English,3.0,,,,0,0.0,0
Angel,L.A. Weatherly,Usborne Publishing Ltd,Paranormal > Angels,3.86,32064.0,2336.0,Paperback,2010.0,507.0,English,49.0,,,,0,0.0,0
The Name of This Book Is Secret,Pseudonymous Bosch,"Little, Brown Books for Young Readers",Mystery,4.06,52015.0,3801.0,Hardcover,2007.0,364.0,English,56.0,9 - 12,744969.0,810.0,4,1.0,0
"Out of Sight, Out of Time",Ally Carter,Hyperion Book CH,Young Adult,4.33,52460.0,2655.0,Hardcover,2012.0,294.0,English,39.0,,,,1,0.0,0
The Boy Who Sneaks in My Bedroom Window,Kirsty Moseley,Createspace,Romance,3.89,69522.0,5270.0,Paperback,2012.0,256.0,English,29.0,1 - 17,197267.0,,1,0.0,0
You Suck,Christopher Moore,William Morrow,Humor,3.82,48518.0,2812.0,Hardcover,2007.0,328.0,English,40.0,,,,0,0.0,0
Katherine,Anya Seton,Chicago Review Press,Historical > Historical Fiction,4.17,32134.0,2092.0,Paperback,2004.0,500.0,English,54.0,,,,0,0.0,0
Inescapable,Amy A. Bartol,CreateSpace,Fantasy > Paranormal,4.01,39111.0,2308.0,Paperback,2011.0,368.0,English,9.0,13 - 17,278664.0,,0,0.0,0
In the Hand of the Goddess,Tamora Pierce,Simon Pulse,Fantasy,4.19,99519.0,2166.0,Mass Market Paperback,2005.0,264.0,English,2.0,,,,1,0.0,0
Dragons of Autumn Twilight,Margaret Weis,Wizards of the Coast,Fantasy,3.99,114389.0,2434.0,Mass Market Paperback,2000.0,444.0,English,83.0,,13050.0,770.0,0,1.0,0
