Title,Name of author,Publisher,Genre,Rating,Rating count,Review count,Book cover,Release date,Num of pages,Edition language,Num of other editions,Reading age,Best sellers rank,Lexile measure,Num of awards,Series,There is a movie
The Glass Castle,Jeannette Walls,Scribner,Nonfiction,4.28,1009426.0,54283.0,Paperback,2006.0,288.0,English,132.0,,3279.0,,2,0.0,0
The Silmarillion,J.R.R. Tolkien,Houghton Mifflin Company,Fantasy,3.95,243197.0,9263.0,Hardcover,2004.0,386.0,English,174.0,14 - 18,17487.0,1150.0,3,0.0,0
Soulless,Gail Carriger,Orbit,Science Fiction > Steampunk,3.87,112563.0,10555.0,Mass Market Paperback,2009.0,357.0,English,54.0,,,,4,0.0,0
The Iron Queen,Julie Kagawa,Harlequin Teen,Fantasy,4.18,106558.0,5048.0,Paperback,2011.0,384.0,English,55.0,14 - 17,,840.0,1,1.0,0
Anna Dressed in Blood,Kendare Blake,Tor Teen,Young Adult,3.9,106051.0,10192.0,Hardcover,2011.0,316.0,English,54.0,,,,4,0.0,0
Jessica's Guide to Dating on the Dark Side,Beth Fantaskey,Harcourt,Young Adult,3.83,42628.0,2960.0,Hardcover,2009.0,351.0,English,33.0,,,,1,0.0,0
Dead Witch Walking,Kim Harrison,HarperTorch,Fantasy > Urban Fantasy,4.02,124142.0,5085.0,Mass Market Paperback,2004.0,416.0,English,4.0,,29404.0,,0,1.0,0
The Body Finder,Kimberly Derting,Harper,Young Adult,3.92,57200.0,4005.0,Hardcover,2010.0,327.0,English,25.0,,,,0,0.0,0
Naked in Death,J.D. Robb,Berkley Publishing Group,Mystery,4.12,180258.0,6597.0,Mass Market Paperback,1995.0,306.0,English,37.0,18,18240.0,,0,1.0,0
The Scorpio Races,Maggie Stiefvater,Scholastic Press,Fantasy,4.06,110078.0,13618.0,Hardcover,2011.0,409.0,English,60.0,13 - 17,436185.0,840.0,5,0.0,0
Assassin's Apprentice,Robin Hobb,Spectra Books,Fantasy,4.16,266161.0,11966.0,Mass Market Paperback,1996.0,435.0,English,161.0,,9504.0,,3,1.0,0
